0.18, -0.1, 0.0
0.19, -0.1, 0.0
0.20, -0.1, 0.0
0.21, -0.1, 0.0
0.22, -0.1, 0.0
0.23, -0.1, 0.0
0.24, -0.1, 0.0
0.25, -0.1, 0.0
0.26, -0.1, 0.0
0.27, -0.1, 0.0
0.28, -0.1, 0.0
0.29, -0.1, 0.0
0.30, -0.1, 0.0
0.31, -0.1, 0.0
0.32, -0.1, 0.0
0.33, -0.1, 0.0
0.34, -0.1, 0.0
0.35, -0.1, 0.0
0.36, -0.1, 0.0
0.37, -0.1, 0.0
0.38, -0.1, 0.0
0.39, -0.1, 0.0
0.40, -0.1, 0.0
0.39, -0.095, 0.0
0.38, -0.09, 0.0
0.37, -0.08, 0.0
0.36, -0.07, 0.0
0.35, -0.06, 0.0
0.34, -0.05, 0.0
0.33, -0.04, 0.0
0.32, -0.03, 0.0
0.31, -0.02, 0.0
0.30, -0.01, 0.0
0.29, 0.0, 0.0
0.30, 0.01, 0.0
0.31, 0.02, 0.0
0.32, 0.03, 0.0
0.33, 0.04, 0.0
0.34, 0.05, 0.0
0.35, 0.06, 0.0
0.36, 0.07, 0.0
0.37, 0.08, 0.0
0.38, 0.09, 0.0
0.39, 0.095, 0.0
